CustomerID,Date,Time,StoreLocation,ProductID,ProductName,ProductCategory,Quantity,UnitPrice,PaymentMethod,CustomerAge,CustomerGender,CustomerFeedback,DiscountApplied,MembershipStatus,Country
898,20-Mar-23,18:49:52,Walvis Bay,3239,Laptop,Electronics,1,16095.79,Credit Card,75,Male,Highly recommend,No,Member,Namibia
1168,7-May-23,4:05:41,Khomasdal,7120,Laptop,Electronics,1,19152.94,Mobile Payment,56,Other,Poor service,No,Member,Namibia
165,28-Jun-23,10:33:17,Windhoek Central,6477,Bread,Grocery,2,20.93,Mobile Payment,32,Other,Highly recommend,Yes,Member,Namibia
,,,,,,,,,,,,,,,
1715,14-Feb-23,14:03:22,Windhoek Central,1028,Milk,Grocery,2,27,Mobile Payment,70,Female,Poor service,Yes,Non-member,Namibia
476,26-Jan-23,4:36:24,Windhoek Central,7552,Eggs,Grocery,3,43.96,Debit Card,50,Other,Highly recommend,Yes,Member,Namibia
2138,13-Apr-23,12:35:34,Swakopmund,3243,Eggs,Grocery,1,51.95,Debit Card,72,Female,Highly recommend,No,Non-member,Namibia
846,25-Mar-23,23:00:25,Walvis Bay,3525,Shoes,Clothing,3,535.69,Cash,25,Other,Average experience,Yes,Non-member,Namibia
845,28-Jun-23,11:10:05,Walvis Bay,7259,Bread,Grocery,2,19.17,Cash,19,Female,Poor service,Yes,Non-member,Namibia
2170,14-Feb-23,19:46:22,Windhoek Central,4621,Milk,Grocery,3,27,Debit Card,74,Male,Highly recommend,No,Non-member,Namibia
801,19-Jan-23,14:41:41,Khomasdal,7766,Cheese,Grocery,3,69.1,Cash,36,Female,Poor service,No,Non-member,Namibia
772,10-Apr-23,0:17:29,Swakopmund,6150,Smartphone,Electronics,2,"9,171.33",Debit Card,49,Other,Will not visit again,No,Non-member,Namibia
1020,20-Apr-23,18:25:00,Swakopmund,2266,Smartphone,Electronics,2,"14,530.30",Debit Card,73,Other,Will not visit again,Yes,Non-member,Namibia
1230,12-Jun-23,17:51:03,Katutura,7624,Butter,Grocery,2,38.27,Credit Card,30,Female,Poor service,No,Member,Namibia
2796,28-Jun-23,7:04:56,Windhoek Central,2441,Bread,Grocery,3,26.4,Debit Card,65,Other,Poor service,Yes,Non-member,Namibia
1113,7-Apr-23,2:13:27,Khomasdal,6031,Laptop,Electronics,1,"16,293.21",Credit Card,19,Other,Highly recommend,No,Member,Namibia
414,17-Jun-23,20:42:16,Walvis Bay,6896,Monitor,Electronics,2,5438.17,Credit Card,32,Other,Highly recommend,Yes,Member,Namibia
357,14-Jan-23,20:15:24,Katutura,4370,Shirt,Clothing,2,470.31,Cash,46,Female,Poor service,Yes,Non-member,Namibia
2869,9-Apr-23,19:25:33,Khomasdal,6952,Cheese,Grocery,3,69.16,Credit Card,22,Female,Good quality,No,Member,Namibia
130,27-Jun-23,17:28:48,Swakopmund,1149,Bread,Grocery,3,23.86,Cash,75,Male,Highly recommend,No,Member,Namibia
1690,27-Jan-23,1:43:32,Swakopmund,2387,Pants,Clothing,5,312.08,Debit Card,39,Other,Will not visit again,No,Member,Namibia
2353,7-May-23,20:29:29,Windhoek Central,2460,Milk,Grocery,2,27,Credit Card,47,Other,Good quality,Yes,Non-member,Namibia
1856,11-Mar-23,5:31:31,Swakopmund,7380,Smartphone,Electronics,2,21778.54,Mobile Payment,51,Other,Good quality,Yes,Non-member,Namibia
2187,16-Mar-23,15:14:54,Swakopmund,5007,Eggs,Grocery,1,42.59,Mobile Payment,73,Female,Will not visit again,No,Non-member,Namibia
541,19-Mar-23,23:36:14,Windhoek Central,9240,Eggs,Grocery,2,42.01,Mobile Payment,56,Female,Highly recommend,Yes,Member,Namibia
,,,,,,,,,,,,,,,
2891,28-Jan-23,11:54:45,Windhoek Central,3642,Jacket,Clothing,4,731.81,Credit Card,45,Male,Highly recommend,No,Non-member,Namibia
1275,4-Mar-23,0:57:56,Khomasdal,5399,Cheese,Grocery,1,41.33,Mobile Payment,41,Other,Highly recommend,No,Member,Namibia
1052,25-Apr-23,11:56:27,Katutura,9072,Eggs,Grocery,3,48.87,Cash,72,Female,Will not visit again,Yes,Non-member,Namibia
1892,20-Jan-23,13:38:53,Windhoek Central,1805,Butter,Grocery,1,45.88,Credit Card,55,Female,Will not visit again,No,Member,Namibia
1742,23-Mar-23,3:24:15,Walvis Bay,2182,Shoes,Clothing,3,303.27,Mobile Payment,33,Female,Highly recommend,No,Member,Namibia
1454,10-Jun-23,10:43:03,Windhoek Central,2972,Laptop,Electronics,2,12296.97,Debit Card,75,Female,Highly recommend,No,Member,Namibia
2906,20-Mar-23,14:21:30,Windhoek Central,7639,Headphones,Electronics,1,609.09,Mobile Payment,21,Other,Good quality,Yes,Non-member,Namibia
2208,21-May-23,1:58:18,Katutura,7502,Laptop,Electronics,2,13257.31,Credit Card,44,Other,Poor service,Yes,Member,Namibia
646,12-Jan-23,1:32:07,Katutura,9315,Eggs,Grocery,2,36.27,Cash,55,Other,Poor service,No,Member,Namibia
1927,12-May-23,12:20:35,Walvis Bay,9928,Eggs,Grocery,1,48.44,Debit Card,27,Female,Average experience,Yes,Member,Namibia
298,31-Jan-23,18:10:28,Walvis Bay,5208,Hat,Clothing,1,153.37,Credit Card,73,Male,Average experience,No,Member,Namibia
1069,13-Jan-23,9:21:43,Katutura,3545,Milk,Grocery,3,27,Credit Card,24,Male,Average experience,No,Non-member,Namibia
764,30-Apr-23,5:11:16,Swakopmund,6023,Hat,Clothing,2,220.13,Debit Card,21,Male,Highly recommend,Yes,Non-member,Namibia
,,,,,,,,,,,,,,,
999,23-Apr-23,21:27:24,Walvis Bay,3613,Smartphone,Electronics,2,"13,725.48",Mobile Payment,48,Female,Average experience,No,Member,Namibia
1734,14-Jan-23,7:06:47,Walvis Bay,6989,Monitor,Electronics,2,9673.53,Cash,56,Other,Excellent service,Yes,Member,Namibia
798,19-Jan-23,8:26:50,Windhoek Central,3870,Butter,Grocery,1,36.27,Credit Card,46,Male,Good quality,No,Non-member,Namibia
2879,9-Jun-23,14:03:22,Windhoek Central,3193,Butter,Grocery,1,38.23,Credit Card,21,Female,Will not visit again,No,Non-member,Namibia
